CustomerID,Date,Amount,Category,City,TransactionType,Merchant
CUST1061,2023-11-30,938.54,Bills,Hyderabad,Online,Store_37
CUST1183,2023-04-12,6020.24,Shopping,Hyderabad,Online,Store_12
CUST1118,2023-04-23,2633.49,Travel,Delhi,Online,Store_39
CUST1150,2023-03-01,1825.89,Health,Hyderabad,Offline,Store_38
CUST1059,2023-02-22,339.25,Health,Hyderabad,Offline,Store_9
CUST1181,2023-09-26,339.19,Food,Hyderabad,Offline,Store_8
CUST1051,2023-05-08,119.68,Entertainment,Delhi,Online,Store_38
CUST1183,2023-11-15,4022.46,Bills,Mumbai,Offline,Store_7
CUST1169,2023-03-24,1838.16,Health,Mumbai,Online,Store_6
CUST1170,2023-01-09,2462.5,Bills,Bangalore,Offline,Store_50
CUST1086,2023-02-11,41.6,Food,Delhi,Online,Store_10
CUST1095,2023-01-20,7007.11,Travel,Mumbai,Offline,Store_47
CUST1097,2023-06-11,3572.86,Food,Mumbai,Offline,Store_25
CUST1031,2023-12-30,477.38,Travel,Kolkata,Online,Store_50
CUST1151,2023-03-12,401.36,Health,Chennai,Online,Store_31
CUST1002,2023-04-20,405.22,Shopping,Delhi,Offline,Store_17
CUST1052,2023-03-22,725.51,Food,Delhi,Online,Store_37
CUST1055,2023-09-01,1487.86,Shopping,Chennai,Offline,Store_19
CUST1152,2023-04-27,1131.07,Bills,Kolkata,Offline,Store_30
CUST1141,2023-11-20,688.45,Health,Mumbai,Online,Store_47
CUST1076,2023-10-01,1892.74,Travel,Delhi,Offline,Store_20
CUST1011,2023-03-21,300.47,Shopping,Kolkata,Offline,Store_49
CUST1188,2023-01-02,691.03,Shopping,Bangalore,Online,Store_8
CUST1146,2023-02-10,912.55,Entertainment,Chennai,Offline,Store_15
CUST1186,2023-02-05,1217.87,Food,Delhi,Online,Store_26
CUST1140,2023-08-12,3075.87,Bills,Hyderabad,Offline,Store_9
CUST1007,2023-01-03,445.47,Shopping,Delhi,Online,Store_2
CUST1119,2023-08-25,1444.06,Travel,Hyderabad,Online,Store_36
CUST1057,2023-05-17,1795.01,Food,Hyderabad,Online,Store_48
CUST1054,2023-07-13,95.13,Health,Kolkata,Online,Store_32
