Order_ID,Date,Product,Category,Region,Quantity,Price,Sales
1001,2024-01-03,Laptop,Electronics,North,2,50000,100000
1002,2024-01-05,Mobile,Electronics,South,3,20000,60000
1003,2024-01-07,Shoes,Fashion,West,5,2000,10000
1004,2024-01-10,Shirt,Fashion,East,4,1500,6000
1005,2024-01-12,TV,Electronics,North,1,40000,40000
1006,2024-01-14,Watch,Accessories,South,6,2500,15000
1007,2024-01-16,Headphones,Electronics,West,3,3000,9000
1008,2024-01-18,Bag,Fashion,East,4,1800,7200
1009,2024-01-20,Tablet,Electronics,North,2,25000,50000
1010,2024-01-22,Sunglasses,Accessories,South,5,1200,6000
1011,2024-01-24,Laptop,Electronics,West,1,52000,52000
1012,2024-01-26,Mobile,Electronics,East,4,21000,84000
1013,2024-01-28,Shoes,Fashion,North,3,2200,6600
1014,2024-02-02,Shirt,Fashion,South,6,1400,8400
1015,2024-02-05,Watch,Accessories,West,2,2600,5200
1016,2024-02-07,TV,Electronics,East,1,42000,42000
1017,2024-02-10,Headphones,Electronics,North,5,2800,14000
1018,2024-02-13,Bag,Fashion,South,3,2000,6000
1019,2024-02-15,Tablet,Electronics,West,2,24000,48000
1020,2024-02-18,Sunglasses,Accessories,East,4,1300,5200
